addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
"638 Rocky Hill Rd, ADC Map 12 F-11",Baltimore,Administrative Order,SAP-14-2080,2014-04-15T00:00:00.000,2014-04-22T00:00:00.000,Non-Tidal Wetlands;Waterway Construction,,,Sparks,MD,21152,"130874 - 638 Rocky Hill Road, Tom & Melissa Mignini"
341 Edgewater Rd,Anne Arundel,Penalty Settlement,PS-13-1781,2012-10-17T00:00:00.000,2018-03-12T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,137926 - 341 Edgewater Rd
Main Street,Allegany,Consent Decree,01-C-00-018487-L,2005-11-10T00:00:00.000,2024-09-30T00:00:00.000,Surface Water Discharge Unauthorized,,,Westernport,MD,21562,102438 - Town Of Westernport/cso Elimination
43960 Airport View Dr,St. Mary's,Penalty Settlement,SAP-12-1667,2015-10-07T00:00:00.000,2015-12-08T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Hollywood,MD,20636,143029 - WM Davis Development-St. Mary's Industrial Park Lot 10
12878 McCready Road,Calvert,,,,2017-10-20T00:00:00.000,Not Assigned,,,Lusby,MD,20657,71789 - McCready Railway & Boatyard
12600 Great Seneca Hwy,Montgomery,Consent Order,CO-14-2047,2013-12-23T00:00:00.000,2017-01-17T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Germantown,MD,20874,5315 - WSSC Seneca WRRF
northwest corner of intersection of Zion Rd and N Salisbury Blvd,Wicomico,Settlement Agreement,Julie Gowe,2014-04-18T00:00:00.000,2014-05-18T00:00:00.000,Groundwater Discharge Unauthorized,,,Salisbury,MD,21801,135703 - Bright Green Discharge to Brewington Branch
4101 Curtis Avenue,Baltimore City,Settlement Agreement,Patrick Noyes,2018-12-28T00:00:00.000,2019-03-26T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Baltimore,MD,21226,132099 - Beltsville Auto Recyclers / Balto.
6316 Cabin Creek Rd,Dorchester,,,,2020-03-04T00:00:00.000,Not Assigned,,,Hurlock,MD,21643,68491 - Nancy Chau Bounds
1802 Northwood Drive,Wicomico,Administrative Order,SC-O-12-1515,,2010-12-29T00:00:00.000,Not Applicable,,,Salisbury,MD,21801,132263 - D. W. Burt Concrete Construction
"I-70 East, Mile Marker 39",Frederick,Penalty Settlement,PS-21-2661,2020-09-16T00:00:00.000,2020-11-10T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,,Myersville,MD,21773,21842 - I-70 East Rest Area
5502 Mussetter Road,Frederick,Consent Order,COP-14-2085,2014-04-30T00:00:00.000,2016-04-08T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Ijamsville,MD,21754,9440 - Holly Hills Country Club
"Deal Island Rd, At Ford Rd",Somerset,Required Confirmation,John Rafter,,2015-07-02T00:00:00.000,Not Assigned,,,Deal Island,MD,21821,131715 - Deal Island & Ford Rd.- Roy Ford Prop.
1507 Frenchtown Rd,Cecil,Penalty Settlement,PS-14-2088,2014-05-21T00:00:00.000,2014-06-09T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Perryville,MD,21903,21881 - Susquehanna Water Filtration Plant
1340 Log Inn Road,Anne Arundel,Consent Order,CO-14-1964,2013-07-22T00:00:00.000,2017-11-22T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Annapolis,MD,21409,4019 - Broadneck Water Reclamation Facility
"MD 43 from Campbell Blvd to, Honeygo Run",Baltimore,Penalty Settlement,C012-1686,2012-07-03T00:00:00.000,2012-07-09T00:00:00.000,Sediment,,,White Marsh,MD,21162,136493 - MdTA MD 43/Campbell Blv to Honeygo Run
"Centre Drive, Parcel F",Wicomico,Settlement Agreement,AP-13-1802,2013-05-07T00:00:00.000,2013-07-12T00:00:00.000,Notice of Intent;Sediment,,,Salisbury,MD,21804,134605 - Centre at Salisbury Mall Stormwater Pond Retrofit
7025 Worcester Hwy,Worcester,Penalty Settlement,PS-23-2825,2022-10-14T00:00:00.000,2023-01-19T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1734950'},Newark,MD,21841,23652 - Newark WWTP
11604 Gum Point Rd,Worcester,,,2019-11-14T00:00:00.000,2024-09-26T00:00:00.000,Tidal Wetlands,,,Berlin,MD,21811,161667 - Michael and Joy Decker
1995 E. Joppa Road,Baltimore,Penalty Settlement,PS-15-2267,2015-06-16T00:00:00.000,2015-06-24T00:00:00.000,Surface Water Discharge Unauthorized,,,Parkville,MD,21234,"146446 - Federal Realty Investment Trust/ Rommel Holdings, INC. t/a Dennys"
201 N Washington Street,Talbot,Offer to Settle,,2020-03-09T00:00:00.000,2020-05-11T00:00:00.000,Groundwater Discharge Unauthorized;Surface Water Discharge Permit,Municipal Minor,,Easton,MD,21601,32590 - Easton Utilities
"20 C&O Canal Tow Path Rd, E",Frederick,Required Confirmation,Lenn Roberts,2020-10-21T00:00:00.000,2020-11-03T00:00:00.000,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO),,Brunswick,MD,21716,21825 - Brunswick WWTP
1816 Park Beach Dr,Harford,Consent Order,,2008-07-17T00:00:00.000,2009-07-09T00:00:00.000,Tidal Wetlands,,,Aberdeen,MD,21001,"63961 - 1816 Park Beach Drive,Seamon Property"
S SIDE JEFFERSON PIKE IMMED SW OF I-70,Frederick,Penalty Settlement,08FR0013,2014-09-16T00:00:00.000,2014-10-02T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Frederick,MD,21703,69536 - Nexus Land Group/jefferson Tech Park/
30085 Charlotte Hall Rd,St. Mary's,Required Confirmation,SAP-13-1731,,2024-09-17T00:00:00.000,Not Assigned,,,Charlotte Hall,MD,20622,"23169 - Seymour, Inc"
13306 Old Marlboro Pike,Prince George's,Penalty Settlement,PS-20-2629,2020-01-30T00:00:00.000,2020-02-19T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Stormwater,,Upper Marlboro,MD,20772,157135 - Prince George's County Public Schools- Salt Storage
City Wide Sewerage System,Baltimore City,Stipulated Penalty,"Bull, Kevin",2017-06-01T00:00:00.000,2017-07-19T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Baltimore,MD,0,31395 - Baltimore City Sanitary Sewer Overflows
11003 Grays Corner Rd,Worcester,Complaint & Penalty,AP-20-2611,2019-10-07T00:00:00.000,2021-01-22T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Berlin,MD,21811,31795 - Lake Haven Mobile Home Park WWTP
900 Keith  Lane,Calvert,,,,2011-08-16T00:00:00.000,Not Assigned,,,Owings,MD,20736,132734 - Ginger Lane
3220 Laurel Fort Meade Road,Anne Arundel,Penalty Settlement,15-PS-2279,2015-06-30T00:00:00.000,2015-07-22T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Laurel,MD,20724,77988 - Fort Meade Wastewater Treatment Plant
8021 Georgia Ave,Montgomery,Consent Order,CO-15-2138,2014-09-09T00:00:00.000,2014-12-23T00:00:00.000,Notice of Intent,Industrial Minor,,Silver Spring,MD,21910,"229 - Heritage at Silver Spring Titleholder, LLC"
2021 Indian Circle,Calvert,Penalty Settlement,PS-14-2054,2014-01-29T00:00:00.000,2014-04-25T00:00:00.000,Tidal Wetlands,,,Saint Leonard,MD,20685,128427 - Gary Salisbury and Elizabeth Hight
Connelly Mill Road west of Chadow Lane,Wicomico,,,,2014-05-08T00:00:00.000,Not Assigned,,,Delmar,MD,21875,129596 - Chaplin's Cove
"Bumblebee Rd, S Side of Airport",Garrett,,,,2009-06-29T00:00:00.000,Not Assigned,,,Mc Henry,MD,21541,67539 - McHenry Business Park
7604 Energy Pkwy,Anne Arundel,Penalty Settlement,PS-16-2303,2015-08-25T00:00:00.000,2015-09-03T00:00:00.000,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,,Curtis Bay,MD,21226,145871 - Command Technology
10000 Town Center Ave,Howard,Penalty Settlement,PS-14-2075,2014-03-28T00:00:00.000,2014-04-21T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Columbia,MD,21044,142317 - Downtown Columbia Warfield Parcels C and D
27969 Budds Creek Rd,St. Mary's,Consent Order,COP-15-2218,2015-04-20T00:00:00.000,2018-08-08T00:00:00.000,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),,Mechanicsville,MD,20659,138805 - Budds Creek Pro National Inc-27969 Budds Creek Rd
NE OF MD 32 & RAINCLIFFE RD INTERSECTION,Carroll,Penalty Settlement,PS-14-2037,2013-12-11T00:00:00.000,2013-12-26T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Sykesville,MD,21784,76347 - Raincliffe Properties/rd Xings  And  Swm
22523 Leitersburg - Smithburg Rd,Washington,Settlement Agreement,Eisgruber,2015-07-06T00:00:00.000,2015-07-23T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Smithsburg,MD,21783,23434 - Smithsburg WWTP
11 W Farmington Road,Prince George's,Penalty Settlement,Patrick Noyes,2019-05-22T00:00:00.000,2019-06-20T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Major,,Accokeek,MD,20607,28150 - WSSC Piscataway WRRF
610 Pittman Rd,Anne Arundel,Consent Order,COP-16-2410,2016-06-29T00:00:00.000,2017-02-09T00:00:00.000,Surface Water Discharge Permit,Industrial Major,,Curtis Bay,MD,21226,2824 - Vibrantz Technologies
Cherry Hill Rd and Moltor Rd,Cecil,Penalty Settlement,,2023-01-18T00:00:00.000,2023-03-14T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Elkton,MD,21921,131420 - Pines At Cherry Hill
"Pee Wee Hill Rd, 1.3 Miles Ne Of Kitzmiller",Garrett,,,,2024-09-10T00:00:00.000,Not Assigned,,,Kitzmiller,MD,21538,21818 - G & S Coal Company - Pee Wee Hill Mine
401 Sweetwater Rd,Calvert,Settlement Agreement,SAP-14-2086,2014-05-01T00:00:00.000,2014-05-28T00:00:00.000,Surface Water Discharge Permit,Industrial Stormwater,,Lusby,MD,20657,10585 - Calvert County Board Of Commissioners
"Wayne Hilmer, 1750 Romancoke Rd",Queen Anne's,Consent Order,CO-14-2091,2014-05-16T00:00:00.000,2014-05-17T00:00:00.000,Tidal Wetlands,,,Stevensville,MD,21666,64129 - Hilmer property
502 Factory Ave,Caroline,Penalty Settlement,Eisgruber,2011-09-12T00:00:00.000,2011-09-26T00:00:00.000,Stormwater Management,,,Ridgely,MD,21660,20744 - Hanover Foods Corp
25320 Richardson Rd,Caroline,Settlement Agreement,Eisgruber,2014-09-30T00:00:00.000,2014-10-21T00:00:00.000,Surface Water Discharge Permit,,,Federalsburg,MD,21632,19786 - Colonel Richardson High School
3290 Bottner Road,Anne Arundel,Penalty Settlement,C-13-1845,2013-03-08T00:00:00.000,2013-04-08T00:00:00.000,Sediment,,,Gambrills,MD,21054,11104 - Davidsonville Transmitter Site
2825 Annapolis Rd,Baltimore City,"Complaint, Order, Penalty",,2013-03-19T00:00:00.000,2013-11-21T00:00:00.000,Surface Water Discharge Unauthorized,,,Baltimore,MD,21230,22190 - A & X Steel and Aluminum Co.
48020 Pine Hill Run Rd.,St. Mary's,Stipulated Penalty,Arno Laud,2013-09-05T00:00:00.000,2017-04-24T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Lexington Park,MD,20653,22175 - St. Mary's County - Marlay-Taylor Water Reclamation Facility
Amtrak Way,Anne Arundel,Settlement Agreement,SAP-14-2062,2014-03-06T00:00:00.000,2014-03-31T00:00:00.000,Sediment;Waterway Construction,,,Linthicum,MD,21090,67711 - Amtrak Way
"Hersick Road & Klondike Rd, 2 Miles West of Woodland",Garrett,,,,2024-09-10T00:00:00.000,Not Assigned,,,Midlothian,MD,21543,"21790 - Beechwood Coal, LLC- Klondike Mine"
100 Treatment Plant Road,Frederick,Stipulated Penalty,SP-19-2540,2018-07-11T00:00:00.000,2018-08-10T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Frederick,MD,21701,21119 - Frederick City WWTP
7751 Rollyston Dr,Talbot,Site Complaint,,,2024-09-26T00:00:00.000,Not Assigned,,,Saint Michaels,MD,21663,66043 - Angel Enterprises Limited Partnership
"Irishtown Limited Partnership, Pintail Point Farm Lane",Queen Anne's,Amended Complaint & Penalty,AP-11-1377,2011-07-26T00:00:00.000,2012-01-18T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment,,,Queenstown,MD,21658,64534 - Irishtown
1161 Old New Windsor Pike,Carroll,Stipulated Penalty,SP-20-2645,2020-04-28T00:00:00.000,2020-05-07T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Westminster,MD,21158,23482 - The City of Westminster Water Reclamation Facility (WRF)
"25840 Rumbley Rd, Rumbley Workboat Harbor",Somerset,,,,2016-03-31T00:00:00.000,Not Assigned,,,Rumbley,MD,21871,"66826 - Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co."
Rte 32 and Cedar Lane intersection,Howard,Penalty Settlement,PS-14-2014,2013-10-10T00:00:00.000,2013-10-23T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Columbia,MD,21043,136840 - SImpson Mill LLC
"Miller Bottom Ocean Hill Rd, off Rt.36 south",Allegany,Penalty Settlement,PS-13-1785,2012-10-17T00:00:00.000,2012-11-26T00:00:00.000,Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater,,Midland,MD,21542,138532 - Miller Bottom Ocean Hill Rd
Hidden Creek Rd,Calvert,Penalty Settlement,PS-13-1955,2013-06-20T00:00:00.000,2013-06-21T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Port Republic,MD,20676,"68778 - Calvert Crossings, LLC"
10335 Academy Drive,Washington,Consent Order,COP-15-2185,2014-12-10T00:00:00.000,2015-09-17T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Hagerstown,MD,21740,21858 - Highland View Academy WWTP
3825 Yellow Bank Rd,Calvert,"Complaint, Order, Penalty",A-O-P-12-1547,2011-12-05T00:00:00.000,2016-03-15T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Dunkirk,MD,20754,134031 - 3825 Yellow Bank Road
102 S. Hickory Avenue,Harford,Penalty Settlement,Arno Laud,2012-07-18T00:00:00.000,2012-07-19T00:00:00.000,Surface Water Discharge Unauthorized,,,Bel Air,MD,21014,32502 - Harford County Public Schools Administration Building
"100 Clubhouse Drive, Ocean Pines Golf CluB",Worcester,Penalty Settlement,PS-13-1921,2013-03-21T00:00:00.000,2013-06-04T00:00:00.000,Sediment,,,Berlin,MD,21811,139894 - OceanPinesGolfClub/Hole11
Mt. Wolfe Rd & Indian Creek Dr,St. Mary's,Consent Order,COP-16-2363,2016-02-04T00:00:00.000,2018-04-20T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Charlotte Hall,MD,20622,23458 - Charlotte Hall Square
County Wide Sewerage System,Allegany,Stipulated Penalty,SP-21-2720,2020-05-31T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837'},County-wide,MD,0,31405 - Allegany County Sanitary Sewer Overflows
MD 367 at Bishopville Pond,Worcester,Penalty Settlement,Julie Gowe,2015-02-03T00:00:00.000,2015-02-24T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Bishopville,MD,21813,130779 - MD DNR-Bishopville Dam Removal & Stream Corridor Enhancement Project
1720 Dual Hwy,Washington,Penalty Settlement,C-13-1783,2012-10-17T00:00:00.000,2012-11-14T00:00:00.000,Sediment,,,Hagerstown,MD,21740,"33550 - Byrd Tire & Automotive Services, LLC"
"385 EDGEWATER RD, Lots 1-3 Home Acres",Prince George's,,,,2016-07-13T00:00:00.000,Not Applicable,,,Beltsville,MD,20705,63957 - Garrett Ave (Ziegler)
Big Run State Park,Garrett,,,,2009-05-27T00:00:00.000,Not Assigned,,,Grantsville,MD,21536,67416 - Garrett County Roads Dept. - Big Run Dike
"US 219 Bridge over, Deep Creek Lake",Garrett,Penalty Settlement,C-13-1889,2013-03-22T00:00:00.000,2013-04-18T00:00:00.000,Sediment,,,Oakland,MD,21550,139382 - Thayerville Water Distribution System
100 Treatment Plant Road,Frederick,Consent Order,CO-12-1402,2011-07-19T00:00:00.000,2020-09-01T00:00:00.000,Surface Water Discharge Permit,,,Frederick,MD,21701,21119 - Frederick City WWTP
10300 Block of National Pike,Garrett,Settlement Agreement and Consent Order,CO-20-2621,2019-11-21T00:00:00.000,2024-09-10T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2461873'},Grantsville,MD,21536,23479 - Grantsville WWTP
3501 Asiatic Ave,Baltimore City,Required Confirmation,Lenn Roberts,2016-06-08T00:00:00.000,2022-03-15T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,3076 - Patapsco WWTP
"1000 Dutchship Island Rd, Little Island",Anne Arundel,Consent Order,SAP-10-1051,2009-11-30T00:00:00.000,2024-10-28T00:00:00.000,Non-Tidal Wetlands;Tidal Wetlands,,,Pasadena,MD,21122,89000 - Daryl Wagner-Little Island
Edgewood Area-Aberdeen Proving Ground,Harford,Consent Order,CWA-3-2012-0114FF,2012-09-25T00:00:00.000,2017-09-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Aberdeen Proving Ground,MD,21010,20603 - APG-Edgewood Area
County Wide Sewerage System,Frederick,Penalty Settlement,PS-21-2679,2020-11-02T00:00:00.000,2020-11-23T00:00:00.000,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,21704,31403 - Frederick County Sanitary Sewer Overflows
"15000 West Old Baltimore Rd, 0.4 miles SE, 39.217725-77.316781",Montgomery,Settlement Agreement,14-NT-3068,2014-12-23T00:00:00.000,2015-02-03T00:00:00.000,Sediment;Waterway Construction,,,Boyds,MD,20841,141872 - W Old Baltimore Rd at Ten Mile Stream crossing
Baltimore Avenue (US 1) betwn Tuckerman St and Albion Rd,Prince George's,Penalty Settlement,C-16-2319,2015-09-30T00:00:00.000,2015-10-13T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Riverdale,MD,20737,140594 - Calvert Tract LLC-Cafritz Property
38.548257 -77.040528,Charles,Penalty Settlement,C-16-2366,2016-01-07T00:00:00.000,2016-04-22T00:00:00.000,Sediment,,,La Plata,MD,20646,91517 - MD Army National Guard La Plata Radiness Center
10576 Market Lane,Somerset,Settlement Agreement,Patrick Noyes,2018-11-08T00:00:00.000,2018-11-21T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),,Princess Anne,MD,21853,155447 - Solar Photovoltaic Power Plant Site #1
124 Mount Zoar Rd,Cecil,Stipulated Penalty,SP-14-2076,2014-04-24T00:00:00.000,2015-02-10T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Minor,,Conowingo,MD,21918,66257 - Conowingo Mobile Home Court
Rt. 2/4/ & Cove Point Rd.,Calvert,Penalty Settlement,C-15-2273,2015-06-26T00:00:00.000,2015-07-24T00:00:00.000,Sediment,,,Lusby,MD,20657,146852 - Cove Point Rd. & Rt.2/4
Rte 36 North,Allegany,Site Complaint,,,2016-05-13T00:00:00.000,Not Applicable,,,Barton,MD,21521,135109 - Kevin Clark
4431 Sands Rd,Anne Arundel,Settlement Agreement and Consent Order,CO-13-1832,2013-01-15T00:00:00.000,2024-09-30T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Harwood,MD,20776,"23576 - Harwood Landfill, Inc."
"LOT 12, 7674 COLONIAL BEACH RD",Anne Arundel,Settlement Agreement,SA-13-1958,2013-07-12T00:00:00.000,2013-07-19T00:00:00.000,Tidal Wetlands,,,Pasadena,MD,21122,"76079 - Annesley Development/lot 12, 7674"
Rte 36 North,Allegany,Site Complaint,,,2016-05-13T00:00:00.000,Not Applicable,,,Barton,MD,21521,135109 - Kevin Clark
5228 Brooks Dr,Dorchester,,,2020-02-27T00:00:00.000,2020-05-28T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Surface Water Discharge Unauthorized,,,Woolford,MD,21677,163304 - James Schaeffer
8811 Courthouse Hill Road,Worcester,,,,2024-09-23T00:00:00.000,Not Assigned,,,Pocomoke City,MD,21851,145784 - James McIntyre Property
2531 Beckleysville Rd,Baltimore,Penalty Settlement,PS-13-1710,2012-11-07T00:00:00.000,2012-11-07T00:00:00.000,Sediment,,,Freeland,MD,21053,131963 - John Ernst
10200 Faulkner Road,Charles,Stipulated Penalty,CJ-13-1926,2021-07-19T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1435977'},Faulkner,MD,20664,23551 - GenOn MD Ash Management LLC-Faulkner Flyash Management Site
County Wide Sewerage System,Queen Anne's,Penalty Settlement,"Bull, Kevin",2015-07-22T00:00:00.000,2015-08-18T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31412 - Queen Anne's County Sanitary Sewer Overflows
10245 Bird River Rd,Baltimore,Consent Order,SAP-16-2340,2015-11-24T00:00:00.000,2015-12-11T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Stormwater,,Middle River,MD,21220,"145393 - Harris Bus & Terminal Service, Inc."
4690 Mountain Rd,Anne Arundel,Penalty Settlement,C-16-2329,2015-10-20T00:00:00.000,2015-12-09T00:00:00.000,Sediment,,,Pasadena,MD,21122,148244 - Lakeside estates
430 Greenland Beach Rd,Anne Arundel,Complaint & Penalty,AP-14-1984,2013-09-09T00:00:00.000,2014-09-17T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Baltimore,MD,21226,22987 - Stoney Creek Bridge Marina
End of Hodges Rd,St. Mary's,Settlement Agreement,SAP-18-2538,2018-06-22T00:00:00.000,2018-10-04T00:00:00.000,Tidal Wetlands,,,Abell,MD,20606,140711 - Barton Hall Lot 3
